trial,model,virtualnode,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
48,Graph Attention Network,VirtualClassNode(),2.552715518352967,0.54933715048596,0.001,0.0029290541098622,0.8154876517371286,0.5698198676109314,0.5857532886572351,0.3173776865005493,0.571482697650922,0.506093389056221,,0.9899896383285522,0.6751546263694763,0.5665602956278124,0.3699189126436911
49,Graph Attention Network,UnidirectionalVirtualClassNode(),1.7610529440873526,0.0526261877976046,0.001,0.0054491788949877,0.7879447467559648,0.5939512252807617,0.6969471332836932,0.3816498517990112,0.6859055316999242,0.6263973371931523,,0.9573864936828612,0.587975025177002,0.6839917338330547,0.4913170133415768
50,Graph Attention Network,UnidirectionalVirtualClassNode(),1.873704371287608,0.021560974976453,0.001,0.0048710096501132,0.8442025952281289,0.4357372224330902,0.6919831223628692,0.2491738945245742,0.6856529426622885,0.6281284243767319,,0.950530469417572,0.5469681620597839,0.6841613828651385,0.4744416295929493
51,Graph Attention Network,UnidirectionalVirtualClassNode(),1.863171610759931,0.0481480649206614,0.001,0.0053981871306672,0.797153620761825,0.5727752447128296,0.6981881360138993,0.3522881269454956,0.6889366001515534,0.6318449371770768,,0.9557592272758484,0.5774850845336914,0.688138771163789,0.4911787050483754
52,Graph Attention Network,UnidirectionalVirtualClassNode(),1.898733565644117,0.0221106091944943,0.001,0.0052797970254223,0.84227710339054,0.4183730483055115,0.6949615289153637,0.2230280637741089,0.6880525385198283,0.6317059673086992,,0.9689314961433412,0.5568746328353882,0.6870807084033209,0.4835496781103341
53,Graph Attention Network,UnidirectionalVirtualClassNode(),1.910170820376217,0.0242970907543112,0.001,0.0053060919038524,0.611301799916283,1.756020188331604,0.6075949367088608,1.3448728322982788,0.6005304369790351,0.5319825299238563,,0.8433773517608643,0.5361442565917969,0.5925875372012941,0.418361611041129
54,Graph Attention Network,UnidirectionalVirtualClassNode(),2.6680416643121125,0.0335079978440823,0.001,0.0053167999078857,0.4367517789870239,4.828955173492432,0.228096301811864,10.745044708251951,0.2277090174286436,0.1442825088301567,,0.4434871971607208,0.2721856236457824,0.2137358556485817,0.0306555767117528
55,Graph Attention Network,UnidirectionalVirtualClassNode(),3.482999786962853,0.0182220461104706,0.001,0.0061826094462899,0.7343658434491419,0.8726223111152649,0.6897493174484984,0.621081531047821,0.67542308663804,0.6156143357491912,,0.9093188643455504,0.5856072902679443,0.674044565921972,0.4830259490686419
56,Graph Attention Network,UnidirectionalVirtualClassNode(),2.63760474221451,0.0066889870349499,0.001,0.0075673032281356,0.4013394725826705,4.617924213409424,0.4271531397369074,3.3802502155303955,0.4198029805506441,0.323942443951095,,0.529876708984375,0.3467989563941955,0.3933767936933285,0.2070365085949501
57,Graph Attention Network,UnidirectionalVirtualClassNode(),1.9250834843105216,0.0425727871162072,0.001,0.0046723451992805,0.6843867727082461,1.1612528562545776,0.6696450732191611,0.8720933198928833,0.6590047991917151,0.5905302156864584,,0.9360862970352172,0.623809814453125,0.6550808991556573,0.4292957252205406
58,Graph Attention Network,UnidirectionalVirtualClassNode(),2.881544428333884,0.0172340508621287,0.001,0.0063573009864096,0.7747174550020929,0.6823225021362305,0.6914867212707868,0.4659812450408935,0.6835059358423844,0.6233334618150962,,0.9354373216629028,0.5746980905532837,0.679938073591612,0.4624848250941385
