trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
95,GraphSAGE,UnidirectionalVirtualClassNode(),,7.046566258,0.013340988,0.001,0.002364422,0.926998744,0.222144097,0.710101762,0.01330579,0.701439758,0.642516071,,0.866374731,0.495454967,0.698893,0.495705588,TRUE
63,GraphSAGE,UnidirectionalVirtualClassNode(),,4.967314318,0.020946908,0.001,0.002697682,0.899455839,0.306174874,0.709357161,0.023235314,0.701692347,0.642394533,,0.894409418,0.513120234,0.699251146,0.501276619,TRUE
31,GraphSAGE,UnidirectionalVirtualClassNode(),,8.827164134,0.001974709,0.001,0.001796873,0.892256174,0.336641908,0.710598163,0.038115021,0.701187168,0.642361847,,0.816568792,0.484555751,0.698377383,0.500804748,FALSE
34,GraphSAGE,UnidirectionalVirtualClassNode(),,6.629219677,0.003874604,0.001,0.002351729,0.92683131,0.226538107,0.711342765,0.013351591,0.701692347,0.642126665,,0.84315747,0.489832729,0.698829864,0.502752109,TRUE
98,GraphSAGE,UnidirectionalVirtualClassNode(),,6.74100714,0.013214622,0.001,0.002133269,0.913352867,0.265068114,0.711094564,0.02353517,0.701187168,0.642077821,,0.862007856,0.494024813,0.698503871,0.496500634,TRUE
56,GraphSAGE,UnidirectionalVirtualClassNode(),,5.70860733,0.02415359,0.001,0.004193392,0.917706153,0.246761248,0.711342765,0.00994678,0.701692347,0.641975998,,0.893020391,0.512958407,0.699022858,0.489435328,TRUE
83,GraphSAGE,UnidirectionalVirtualClassNode(),,7.184172501,0.006541042,0.001,0.002301469,0.890916702,0.340548307,0.711590966,0.03550189,0.700176812,0.641903262,,0.827650845,0.483475119,0.697861759,0.496773274,TRUE
12,GraphSAGE,UnidirectionalVirtualClassNode(),,9.984046698,0.0006927,0.001,0.004027228,0.937212223,0.186342806,0.713080169,0.005168065,0.699924223,0.641886332,,0.792452097,0.460692197,0.697094624,0.509318385,FALSE
94,GraphSAGE,UnidirectionalVirtualClassNode(),,7.760758865,0.004344607,0.001,0.002522132,0.898618669,0.318989813,0.707123356,0.032014124,0.701313463,0.641532477,,0.820066571,0.477991223,0.698905767,0.477232604,TRUE
62,GraphSAGE,UnidirectionalVirtualClassNode(),,6.403800362,0.021757776,0.001,0.003828171,0.939053997,0.172883987,0.708860759,0.001947783,0.70068199,0.641318566,,0.881979048,0.500863194,0.698323113,0.478682474,TRUE
87,GraphSAGE,UnidirectionalVirtualClassNode(),,6.284222753,0.014630703,0.001,0.003352802,0.892674759,0.371709734,0.706875155,0.034918725,0.699924223,0.640797218,,0.859351277,0.489161223,0.697495344,0.494747839,TRUE
93,GraphSAGE,UnidirectionalVirtualClassNode(),,7.123625866,0.004272594,0.001,0.002518548,0.907241524,0.287670046,0.712087367,0.020917885,0.701566052,0.640657681,,0.832275212,0.488281757,0.698222932,0.498119726,TRUE
33,GraphSAGE,UnidirectionalVirtualClassNode(),,9.890961233,0.009916558,0.001,0.002117312,0.89886982,0.319417447,0.708116158,0.036814805,0.699671634,0.639996515,,0.833145618,0.488459826,0.697737494,0.504811092,FALSE
